id,anio,mes_i,nom_indicador,tipo,periodicidad,clave,nombre_unidad,numerador,denominador,indicador,digito_equivalencia
339775,2014,6,DM 05,OOAD,Mensual,14,Jalisco,57720,75585,76.4,5
340146,2014,6,DM 05,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,1226,1679,73,5
341033,2014,7,DM 05,OOAD,Mensual,00,Nacional,910930,1137318,80.1,5
341046,2014,7,DM 05,OOAD,Mensual,14,Jalisco,55570,73217,75.9,5
341417,2014,7,DM 05,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,1198,1658,72.3,5
342304,2014,8,DM 05,OOAD,Mensual,00,Nacional,883590,1103159,80.1,5
342317,2014,8,DM 05,OOAD,Mensual,14,Jalisco,52398,69388,75.5,5
342688,2014,8,DM 05,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,1102,1545,71.3,5
343575,2014,9,DM 05,OOAD,Mensual,00,Nacional,906869,1134186,80,5
343588,2014,9,DM 05,OOAD,Mensual,14,Jalisco,53181,70443,75.5,5
343959,2014,9,DM 05,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,1166,1624,71.8,5
344846,2014,10,DM 05,OOAD,Mensual,00,Nacional,907457,1138283,79.7,5
344859,2014,10,DM 05,OOAD,Mensual,14,Jalisco,53939,70988,76,5
345230,2014,10,DM 05,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,1183,1579,74.9,5
346117,2014,11,DM 05,OOAD,Mensual,00,Nacional,886136,1119713,79.1,5
346130,2014,11,DM 05,OOAD,Mensual,14,Jalisco,52308,69050,75.8,5
346501,2014,11,DM 05,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,1184,1550,76.4,5
347388,2014,12,DM 05,OOAD,Mensual,00,Nacional,871212,1098299,79.3,5
347401,2014,12,DM 05,OOAD,Mensual,14,Jalisco,49981,66942,74.7,5
347772,2014,12,DM 05,Unidad,Mensual,141201252110,UMF  168 TEPATITLAN,1068,1507,70.9,5
348659,2014,12,DM 06,OOAD,Anual,00,Nacional,5939,29525905,20.1,131
348672,2014,12,DM 06,OOAD,Anual,14,Jalisco,1222,2452950,49.8,131
349042,2014,12,DM 06,Unidad,Anual,141201252110,UMF  168 TEPATITLAN,4,43368,9.2,131
349929,2014,1,DM 07,OOAD,Mensual anualizado,00,Nacional,3848,3395389,113.3,8
349942,2014,1,DM 07,OOAD,Mensual anualizado,14,Jalisco,237,231166,102.5,8
350312,2014,1,DM 07,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,2,4062,49.2,8
351199,2014,2,DM 07,OOAD,Mensual anualizado,00,Nacional,3886,3395389,114.4,8
351212,2014,2,DM 07,OOAD,Mensual anualizado,14,Jalisco,251,231166,108.6,8
351582,2014,2,DM 07,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,2,4062,49.2,8
352469,2014,3,DM 07,OOAD,Mensual anualizado,00,Nacional,3944,3395389,116.2,8
352482,2014,3,DM 07,OOAD,Mensual anualizado,14,Jalisco,255,231166,110.3,8
352852,2014,3,DM 07,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,2,4062,49.2,8
353739,2014,4,DM 07,OOAD,Mensual anualizado,00,Nacional,3999,3395389,117.8,8
353752,2014,4,DM 07,OOAD,Mensual anualizado,14,Jalisco,258,231166,111.6,8
354122,2014,4,DM 07,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,2,4062,49.2,8
355009,2014,5,DM 07,OOAD,Mensual anualizado,00,Nacional,4057,3395389,119.5,8
355022,2014,5,DM 07,OOAD,Mensual anualizado,14,Jalisco,251,231166,108.6,8
355392,2014,5,DM 07,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,2,4062,49.2,8
356279,2014,6,DM 07,OOAD,Mensual anualizado,00,Nacional,4100,3395389,120.8,8
356292,2014,6,DM 07,OOAD,Mensual anualizado,14,Jalisco,239,231166,103.4,8
356662,2014,6,DM 07,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,1,4062,24.6,8
357549,2014,7,DM 07,OOAD,Mensual anualizado,00,Nacional,4124,3395389,121.5,8
357562,2014,7,DM 07,OOAD,Mensual anualizado,14,Jalisco,253,231166,109.4,8
357932,2014,7,DM 07,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,0,4062,0,8
358819,2014,8,DM 07,OOAD,Mensual anualizado,00,Nacional,4177,3395389,123,8
358832,2014,8,DM 07,OOAD,Mensual anualizado,14,Jalisco,259,231166,112,8
359202,2014,8,DM 07,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,0,4062,0,8
360089,2014,9,DM 07,OOAD,Mensual anualizado,00,Nacional,4234,3395389,124.7,8
360102,2014,9,DM 07,OOAD,Mensual anualizado,14,Jalisco,266,231166,115.1,8
360472,2014,9,DM 07,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,1,4062,24.6,8
361359,2014,10,DM 07,OOAD,Mensual anualizado,00,Nacional,4215,3395389,124.1,8
361372,2014,10,DM 07,OOAD,Mensual anualizado,14,Jalisco,246,231166,106.4,8
361742,2014,10,DM 07,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,1,4062,24.6,8
362629,2014,11,DM 07,OOAD,Mensual anualizado,00,Nacional,4217,3395389,124.2,8
362642,2014,11,DM 07,OOAD,Mensual anualizado,14,Jalisco,241,231166,104.3,8
363012,2014,11,DM 07,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,1,4062,24.6,8
363899,2014,12,DM 07,OOAD,Mensual anualizado,00,Nacional,4244,3395389,125,8
363912,2014,12,DM 07,OOAD,Mensual anualizado,14,Jalisco,243,231166,105.1,8
364282,2014,12,DM 07,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,1,4062,24.6,8
365169,2014,1,DM 08,OOAD,Mensual anualizado,00,Nacional,147.17,149.63,1.7,10
365182,2014,1,DM 08,OOAD,Mensual anualizado,14,Jalisco,127.6,133.8,4.9,10
365552,2014,1,DM 08,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,108.85,126.82,16.5,10
366438,2014,2,DM 08,OOAD,Mensual anualizado,00,Nacional,147.33,149.93,1.8,10
366451,2014,2,DM 08,OOAD,Mensual anualizado,14,Jalisco,127.17,134.57,5.8,10
366821,2014,2,DM 08,Unidad,Mensual anualizado,141201252110,UMF  168 TEPATITLAN,118.53,112.99,-4.7,10
367707,2014,3,DM 08,OOAD,Mensual anualizado,00,Nacional,148.77,149.38,0.4,10
