Parametro,Fuente,Anio,Mes,Cve_OOAD,Nombre_OOAD,Cve_Presupuestal,Nombre_Unidad,Sexo,Grupo_edad,Poblacion
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,10 a 14,3351
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,15 a 19,1849
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,20 a 24,2346
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,25 a 29,3082
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,30 a 34,3100
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,35 a 39,2756
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,40 a 44,2653
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,45 a 49,2292
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,50 a 54,1951
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,55 a 59,1589
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,60 a 64,1355
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,65 a 69,1149
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,70 a 74,963
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,75 a 79,699
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,80 a 84,485
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,85 y mas,599
PAMF,DIR,2016,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,2,NI,13
PAMF,DIR,2017,6,14,Jalisco,141201252110,UMF 168 Tepatitlán,0,00 a 04,6289
